source,source_url,source_update,exchange,variety,contract,symbol,margin_per_lot,margin_rate,note,is_new_contract
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,塑料,l2701,L,6248.0,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,广期所,碳酸锂,lc2701,LC,39715.0,25%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,原木,lg2611,LG,8996.4,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,生猪,lh2611,LH,23097.6,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期能源,低硫燃油,lu2610,LU,13070.2,26%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,豆粕,m2701,M,4201.6,13%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,甲醇,MA610,MA,4953.8,17%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪镍,ni2609,NI,23326.2,18%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期能源,20号胶,nr2610,NR,25048.0,16%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,菜油,OI611,OI,13535.6,13%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,胶版纸,op2610,OP,18739.2,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,棕榈油,p2701,P,14203.0,14%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪铅,pb2610,PB,12123.8,15%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,广期所,钯,pd2610,PD,81150.0,25%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,短纤,PF610,PF,6131.2,16%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,LPG,pg2610,PG,29390.0,25%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,花生,PK611,PK,4846.8,12%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,丙烯,PL611,PL,25904.0,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,普麦,PM701,PM,124880.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,聚丙烯,pp2701,PP,6511.2,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,瓶片,PR611,PR,17606.4,16%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,广期所,多晶硅,ps2611,PS,26009.6,23%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,广期所,铂,pt2610,PT,117537.5,25%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,对二甲苯,PX611,PX,6529.6,16%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,螺纹钢,rb2610,RB,3679.2,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,早籼稻,RI701,RI,39664.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,菜粕,RM611,RM,3352.5,15%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,粳米,rr2611,RR,3562.0,10%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,菜籽,RS609,RS,46168.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,橡胶,ru2701,RU,29776.0,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,纯碱,SA701,SA,3583.6,17%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期能源,原油,sc2610,SC,152828.0,26%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,硅铁,SF611,SF,4494.0,15%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,烧碱,SH611,SH,8784.0,15%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,广期所,工业硅,si2611,SI,8293.5,19%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,锰硅,SM611,SM,4769.6,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪锡,sn2609,SN,85422.0,20%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,纸浆,sp2611,SP,6325.8,13%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,白糖,SR701,SR,5375.0,10%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,不锈钢,ss2610,SS,8529.0,12%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,十债,T2609,T,32866.5,3%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,PTA,TA701,TA,4822.9,17%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,五债,TF2609,TF,21322.0,2%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,三十债,TL2609,TL,52276.5,4.5%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,中金所,二债,TS2609,TS,20527.6,1%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,尿素,UR701,UR,6397.2,18%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,PVC,v2701,V,3715.2,16%,,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,强麦,WH701,WH,51168.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,线材,wr2609,WR,26208.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,大商所,豆油,y2701,Y,12327.0,14%,特殊品种，交易需要单独开通权限,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,郑商所,动力煤,ZC611,ZC,64112.0,80%,该品种极不活跃，请注意控制风险,False
东方财富期货保证金表,https://qhweb.eastmoney.com/bzj/allexchange,更新于 08月24日 18:26:13,上期所,沪锌,zn2610,ZN,19428.8,15%,,False
